id,agency_id,status,created,sent,due_date,fullfilled_date,private,num_messages,contacts
605,,Incomplete,2014-02-27 15:12:22+00:00,None,None,None,True,0,
608,,Deleted,2014-02-27 15:43:53+00:00,None,None,None,True,0,
609,,Incomplete,2014-02-27 15:55:17+00:00,None,None,None,True,0,
610,,Incomplete,2014-02-27 16:26:44+00:00,None,None,None,True,0,
620,1,Fulfilled,2014-02-27 18:14:18+00:00,2014-02-27 18:14:50+00:00,2014-03-27 18:14:50+00:00,2014-03-27 04:00:00+00:00,False,5,1
622,89,Deleted,2014-02-27 19:27:38+00:00,2014-02-27 19:47:12+00:00,2014-04-04 04:00:00+00:00,None,True,1,70
623,90,Filed (Request sent),2014-02-27 19:45:31+00:00,2014-02-27 19:57:42+00:00,2014-03-27 19:57:42+00:00,None,True,1,71
624,92,Deleted,2014-02-27 19:48:49+00:00,2014-03-04 18:46:55+00:00,2014-03-11 18:46:55+00:00,None,True,1,73
625,91,Filed (Request sent),2014-02-27 20:00:26+00:00,2014-02-27 20:07:40+00:00,2014-03-13 20:07:40+00:00,None,True,1,72
628,,Incomplete,2014-02-28 00:35:11+00:00,None,None,None,False,0,
629,,Deleted,2014-02-28 00:57:40+00:00,None,None,None,True,0,
630,,Incomplete,2014-02-28 04:33:18+00:00,None,None,None,True,0,
631,,Incomplete,2014-02-28 17:20:23+00:00,None,None,None,True,0,
